rf_self,rf,rf_over_self,rf_over,log_reg_self,log_reg,log_reg_cw_self,log_reg_cw,log_reg_over_self,log_reg_over,nn_self,nn,nn_over_self,nn_over,xg_self,xg,xg_over_self,xg_over
B,T,B,NK,NK,NK,NK,NK,NK,NK,B,NK,B,NK,B,NK,B,NK
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,B,T,B,T,B,T,B,T,B,T,B,T,B,T
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,NK,B,NK,B,NK,B,NK,B,NK,B,NK,B,NK,B,NK,B,NK
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,T,T,B,T,T,T,B,T,B,T,B,T,B,T
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,M,B,B,B,M,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,B,T,B,T,B,T,B,T,B,T,B,T,B,T
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,NK,B,NK,NK,NK,NK,NK,NK,NK,B,NK,B,NK,B,NK,B,NK
T,T,T,T,T,T,B,T,T,T,B,T,B,T,B,T,B,T
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,T,T,B,T,T,T,B,T,B,T,B,T,B,T
T,T,T,T,T,NK,B,NK,T,NK,B,NK,B,NK,B,NK,B,NK
B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M
T,T,T,T,T,NK,B,NK,T,NK,B,NK,B,NK,B,NK,B,NK
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M
B,M,B,M,M,M,M,M,M,M,B,M,B,M,B,M,B,M
B,T,B,NK,B,NK,NK,NK,B,NK,B,NK,B,NK,B,NK,B,NK
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,B,T,B,T,B,T,B,T,B,T,B,T,B,T
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,B,T,B,T,B,T,B,T,B,T,B,T,B,T
B,B,B,B,B,T,B,B,B,T,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,B,T,B,T,B,T,B,T,B,T,B,T,B,T
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,B,T,B,T,B,T,B,T,B,T,B,T,B,T
B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M
B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M,B,M
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
T,T,T,T,T,T,B,T,T,T,B,T,B,T,B,T,B,T
T,T,T,T,B,T,B,T,B,T,B,T,B,T,B,T,B,T
